date,passengers
109年10月18日,1615795
109年10月19日,2086520
109年10月20日,2155028
109年10月21日,2183781
109年10月22日,2194584
109年10月23日,2392132
109年10月24日,1966280
109年10月25日,1611758
109年10月26日,2103112
109年10月27日,2143533
109年10月28日,2169275
109年10月29日,2155924
109年10月30日,2357501
109年10月31日,2029537
109年11月01日,1567485
109年11月02日,2074223
109年11月03日,2106907
109年11月04日,2142885
109年11月05日,2189520
109年11月06日,2359951
109年11月07日,1959931
109年11月08日,1575354
109年11月09日,2084813
109年11月10日,2152019
109年11月11日,2207335
109年11月12日,2196838
109年11月13日,2447156
109年11月14日,2013294
109年11月15日,1745924
109年11月16日,2161787
109年11月17日,2166076
109年11月18日,2197863
109年11月19日,2213101
109年11月20日,2395875
109年11月21日,1975062
109年11月22日,1719862
109年11月23日,2102607
109年11月24日,2152084
109年11月25日,2201825
109年11月26日,2212287
109年11月27日,2395438
109年11月28日,1933229
109年11月29日,1611237
109年11月30日,2132384
109年12月01日,2153119
109年12月02日,2216949
109年12月03日,2235258
109年12月04日,2478901
109年12月05日,2120857
109年12月06日,1757729
109年12月07日,2146482
109年12月08日,2202929
109年12月09日,2235903
109年12月10日,2270502
109年12月11日,2470696
109年12月12日,2268320
109年12月13日,1857480
109年12月14日,2163973
109年12月15日,2236243
109年12月16日,2274377
109年12月17日,2317323
109年12月18日,2519964
109年12月19日,2176716
109年12月20日,1820832
109年12月21日,2198564
109年12月22日,2259063
109年12月23日,2268912
109年12月24日,2292874
109年12月25日,2478488
109年12月26日,2009816
109年12月27日,1621732
109年12月28日,2154767
109年12月29日,2216991
109年12月30日,2232640
109年12月31日,2579413
110年1月01日,1402989
110年1月02日,1520804
110年1月03日,1395246
110年1月04日,2080804
110年1月05日,2125152
110年1月06日,2163136
110年1月07日,2152215
110年1月08日,2288184
110年1月09日,1678013
110年1月10日,1414776
110年1月11日,2095713
110年1月12日,2128063
110年1月13日,2174910
110年1月14日,2203013
110年1月15日,2389948
110年1月16日,1782740
110年1月17日,1395292
110年1月18日,2067158
110年1月19日,2135352
110年1月20日,2233831
110年1月21日,2105986
110年1月22日,2185131
110年1月23日,1636572
110年1月24日,1412602
110年1月25日,2000447
110年1月26日,2050066
110年1月27日,2055668
110年1月28日,2050506
110年1月29日,2193252
110年1月30日,1689077
110年1月31日,1421231
110年2月01日,2014033
110年2月02日,2048542
110年2月03日,2108763
110年2月04日,2124265
110年2月05日,2249784
110年2月06日,1681012
110年2月07日,1403610
110年2月08日,2020890
110年2月09日,1976086
110年2月10日,1133921
110年2月11日,671712
110年2月12日,1044332
110年2月13日,1012682
110年2月14日,1342891
110年2月15日,1469423
110年2月16日,1386871
110年2月17日,1913173
110年2月18日,2067078
110年2月19日,2154504
110年2月20日,2060354
110年2月21日,1557465
110年2月22日,2117967
110年2月23日,2148289
110年2月24日,2181721
110年2月25日,2187034
110年2月26日,2317853
110年2月27日,1746297
110年2月28日,1763396
110年3月01日,1558770
110年3月02日,2142858
110年3月03日,2158686
110年3月04日,2178873
110年3月05日,2371738
110年3月06日,1706831
110年3月07日,1480930
110年3月08日,2115319
110年3月09日,2156282
110年3月10日,2195013
110年3月11日,2206570
110年3月12日,2379578
110年3月13日,1909273
110年3月14日,1626631
110年3月15日,2106648
110年3月16日,2165519
110年3月17日,2186962
110年3月18日,2189400
110年3月19日,2366482
110年3月20日,1898339
110年3月21日,1511129
110年3月22日,2082651
110年3月23日,2153389
110年3月24日,2185958
110年3月25日,2219073
110年3月26日,2401875
110年3月27日,1895668
110年3月28日,1592036
110年3月29日,2129008
110年3月30日,2160597
110年3月31日,2230030
110年4月01日,2265611
110年4月02日,1655378
110年4月03日,1564801
110年4月04日,1380448
110年4月05日,1428829
110年4月06日,2096130
110年4月07日,2151189
110年4月08日,2164371
110年4月09日,2343286
110年4月10日,1856608
110年4月11日,1612559
110年4月12日,2111752
110年4月13日,2150148
110年4月14日,2170091
110年4月15日,2179814
110年4月16日,2361705
110年4月17日,1896423
110年4月18日,1547368
110年4月19日,2076745
110年4月20日,2152008
110年4月21日,2187382
110年4月22日,2215312
110年4月23日,2384803
110年4月24日,1993738
110年4月25日,1592887
110年4月26日,2099666
110年4月27日,2131349
110年4月28日,2209775
110年4月29日,2232291
110年4月30日,2015911
110年5月01日,1721735
110年5月02日,1468779
110年5月03日,1992418
110年5月04日,2043347
110年5月05日,2073740
110年5月06日,2095347
110年5月07日,2276040
110年5月08日,1597161
110年5月09日,1312578
110年5月10日,2007972
